Carimbo de data/hora;NOME, APELIDO, OU NÚMERO (PARA CONTROLE INTERNO);1-	QUAL A SUA IDADE?;2-	QUAL O SEU SEXO?;3-	QUAL A SUA CIDADE E ESTADO?;4-	QUAL A SUA ESCOLARIDADE?;5-	QUAL A SUA PROFISSÃO/OCUPAÇÃO?;6-	VOCÊ PENSA NA FOFOCA COMO UMA COISA: ;7-	QUANDO A FOFOCA É A SEU RESPEITO, VOCÊ ACHA ISSO:;8-	PARA VOCÊ, O QUE É A FOFOCA? (ESCREVA UMA DEFINIÇÃO) ;9-    É POSSÍVEL VIVER SEM FOFOCAR?;10-	VOCÊ FOFOCA: ;11- PARA VOCÊ O QUE É UM(A) FOFOQUEIRO(A)?;12-	VOCÊ SE ACHA FOFOQUEIRO(A)?;13-	VOCÊ ACHA QUE (MORALMENTE) SER FOFOQUEIRO É:;14 - QUEM VOCÊ ACHA QUE FOFOCA MAIS?;15 - EM QUAL IDADE SE FOFOCA MAIS ? (marque no máximo 2);16-	VOCÊ CONHECE PESSOALMENTE UMA PESSOA FOFOQUEIRA?;17- VOCÊ ACHA QUE O QUE SE FALA NA FOFOCA É SEMPRE NEGATIVO?;18-	QUAIS TEMAS VOCÊ ACHA MAIS FREQUENTES NA FOFOCA? (MARQUE TODAS QUE SE APLICAM);19-	QUE TEMA(S) TE INTERESSA(M) MAIS EM UMA FOFOCA?;20- VOCÊ JÁ APRENDEU ALGO QUE PUDESSE USAR PARA A SUA VIDA NUMA FOFOCA? SE SIM, O QUÊ?;21-	VOCÊ CONHECE ALGUM CASO INTERESSANTE DE FOFOCA? GOSTARIA DE CONTÁ-LO RESUMIDAMENTE? (não precisa dar nomes);22-	O QUE VOCÊ ACHA QUE NÃO É ASSUNTO DE FOFOCA?OU O QUE NÃO É FOFOCA?;23-	ONDE AS PESSOAS FOFOCAM MAIS (em que lugares ou situações)?;24- MARQUE AS OPÇÕES QUE VOCÊ ACHA RELACIONADAS À FOFOCA: (quantas quiser);25-	VOCÊ CONHECE ALGUMA FOFOCA QUE AJUDOU ALGUÉM?;26-	VOCÊ CONHECE ALGUMA FOFOCA QUE PREJUDICOU ALGUÉM? ;27-	VOCÊ JÁ FOI PREJUDICADO(A) POR UMA FOFOCA NEGATIVA? ;28- VOCÊ JÁ PREJUDICOU ALGUÉM COM UMA FOFOCA NEGATIVA?;29- O QUE VOCÊ SENTE QUANDO FAZ (CONTA) UMA FOFOCA?;30- O QUE VOCÊ SENTE QUANDO OUVE UMA FOFOCA?;31-	O QUE VOCÊ FAZ OU SENTE QUANDO CHEGA ATÉ VOCÊ FOFOCA SOBRE UMA PESSOA QUE É SUA AMIGA OU PARENTE QUERIDO?;32- VOCÊ ACHA QUE TAMBÉM SE PODE FOFOCAR POR ESCRITO OU PELA INTERNET? SE SIM, COMO ACHA QUE MAIS SE FOFOCA HOJE EM DIA (PELA FALA PRESENCIAL OU PELA INTERNET)?;33-	 CONHECE ALGUM TERMO DIFERENTE, CURIOSO OU REGIONAL PARA DIZER “FOFOCA” OU “FOFOQUEIRO” QUE NÃO TENHA SIDO MENCIONADO AQUI? SE SIM, QUAL (QUAIS)?
11/9/2019 18:36:02;012;21;FEMININO;RIO BONITO - RJ;ENSINO SUPERIOR;ESTUDANTE;RUIM/NEGATIVA;RUIM;"FOFOCA, OU ""FAZER FOFOCA, SERIA O ATO DE FALAR A UM TERCEIRO ALGO QUE ACONTECEU AO SUJEITO O QUAL SE FALA, ALGO QUE ESSE FEZ OU DEIXOU DE FAZER, COM SENTIDO DEPRECIATIVO, UMA VEZ QUE GERALMENTE ESSA CONDUTA SERIA REPROVÁVEL. ";SIM;POUCO;"ALGUÉM QUE FALA SOBRE A VIDA DE OUTRAS PESSOAS DE FORMA A ""RECLAMAR"" DESSAS A TERCEIRO, OU FALAR EM GERAL DOS MESMOS. ";SIM;RUIM;DEPENDE DA SITUAÇÃO;ADULTOS, IDOSOS;SIM, MUITAS;SIM;A VIDA DE SEUS CONHECIDOS E AMIGOS, ASSUNTOS DE TRABALHO, A VIDA DE SEUS PARENTES, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS;NÃO GOSTO DE FOFOCAS, EM GERAL NÃO ME INTERESSO EM NENHUM TEMA. ;SIM.  NÃO FOFOQUE SOBRE ALGUÉM, PORQUE SE ELA SOUBER, VÁRIOS PROBLEMAS PODEM OCORRER. ;SIM. UMA MULHER RECLAMA DE OUTRA FOFOCANDO SOBRE O COSTUME DESSA DE FOFOCAR SOBRE AS PESSOAS E SER FALSA EM RELAÇÃO A ELAS. ESSA MULHER (PRIMEIRA) ERA AMIGA DE QUEM FOFOCAVA SOBRE, OU SEJA, TAMBÉM ERA FALSA. ;NÃO É FOFOCA FALAR SOBRE ALGUÉM COM TOM DE PREOCUPAÇÃO A TERCEIRO, NEM COM O OBJETIVO DE PEDIR A ESSE TERCEIRO CONSELHOS SOBRE COMO AGIR NA SITUAÇÃO COMENTADA, OU QUANDO SE ESTÁ ENVOLVIDO NA SITUAÇÃO DESCRITA. ;QUANDO ESTÃO DESOCUPADAS OU FAZENDO ALGO QUE NÃO NECESSITE DE PRESSA OU ATENÇÃO (EM QUALQUER LUGAR) -  PERSPECTIVA FEMININA;BOATO, INVEJA, IMPLICÂNCIA, SEGREDO, IRONIA, AFRONTA, TRAIÇÃO, CURIOSIDADE, INIMIZADE, COMPETIÇÃO, ESCONDIDO, CENSURA, TAGARELA, MALÍCIA, MALDADE, OCULTAÇÃO, PECADO;NÃO;;;;SINTO QUE TRAÍ A PESSOA (QUANDO É SEGREDO), OU QUE NÃO GOSTARIA QUE FIZESSEM O MESMO (QUANDO FALAM DE UM DEFEITO) - MELHOR FALAR DIRETAMENTE C/ A PESSOA.;DEPENDE, NÃO NA MESMA HORA, DEPOIS, QUANDO ME DOU CONTA DO TEOR DO ASSUNTO. ;FICO IRRITADA E QUERO CONVERSAR COM ESSA PESSOA SOBRE O QUE ESTÃO FALANDO DELA PARA ALERTÁ-LA OU EXORTÁ-LA. ;SIM, INTERNET;"NÃO.  nA VERDADE TALVEZ ""FALSO"", ""FALSIDADE"" OU ""FALSIANE"" SE COMPARE, NA MINHA PERSPECTIVA. "
11/9/2019 18:44:02;013;22;MASCULINO;DUQUE DE CAXIAS - RJ ;ENSINO SUPERIOR;ESTUDANTE;NEUTRA/NORMAL;NEUTRO/DEPENDE DA SITUAÇÃO;PASSAR ADIANTE INFORMAÇÕES DE TERCEIROS, QUE NEM SEMPRE DIZEM RESPEITO A OUTRAS PESSOAS. TAIS INFORMAÇÕES PODEM OU NÃO SER PREJUDICIAIS, PORÉM FOFOCA É ALGO  INERENTE AO SER HUMANO. ;NÃO;MEDIANAMENTE;UMA PESSOA QUE GOSTA DE FALAR AOS OUTROS, MAS NEM SEMPRE COMO UMA FORMA DE PREJUDICAR.;NÃO;NORMAL;DEPENDE DA SITUAÇÃO;ADOLESCENTES, IDOSOS;SIM, MUITAS;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, A VIDA DE SEUS PARENTES, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS;PESSOAS QUE CONSIDERO RELEVANTE DE ALGUMA FORMA. EX: PARENTES E AMIGOS;NÃO QUE ME RECORDE.;TRAIÇÃO SEMPRE É UM DOS TEMAS FREQUENTES EM FOFOCA, MAS NÃO ME RECORDO DE NENHUM ESPECÍFICO. ;ASSUNTOS SOCIALMENTE RELEVANTES. EX: POLÍTICA.;ESCOLAS, BARES E NA VIZINHANÇA EM GERAL.;MENTIRA, BOATO, IMPLICÂNCIA, VINGANÇA, SEGREDO, IRONIA, TRAIÇÃO, CURIOSIDADE, INIMIZADE, TAGARELA, MALDADE, DIVERSÃO, FAKE NEWS, FUXICO, MANIPULAÇÃO, ZOAÇÃO;SIM;SIM;NÃO;NÃO;DEPENDE DA FOFOCA, MUITAS SÃO NATURAIS NA VIDA COTIDIANA.;DEPENDE DO CONTEÚDO DA FOFOCA.;DEPENDE DO CONTEÚDO DA FOFOCA.;SIM, FALA PRESENCIAL;NÃO
11/9/2019 18:49:39;014;19;FEMININO;NITERÓI - RJ;ENSINO MÉDIO;;NEUTRA/NORMAL;NEUTRO/DEPENDE DA SITUAÇÃO;COMENTAR SOBRE ALGO QUE NÃO É EXPOSTO PUBLICAMENTE, QUE O COMENTADO NÃO NECESSARIAMENTE DESEJA QUE OUTROS SAIBAM. ;NÃO SEI;MUITO;ALGUÉM QUE COMENTA FREQUENTEMENTE SOBRE A VIDA DE OUTRAS PESSOAS.;SIM, MUITO;RUIM;DEPENDE DA SITUAÇÃO;ADOLESCENTES, IDOSOS;SIM, MUITAS;SIM;A VIDA DE SEUS CONHECIDOS E AMIGOS, ASSUNTOS DE TRABALHO, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS;VIDA DE FAMOSOS.;NÃO;NÃO;COMENTÁRIOS SOBRE UMA INFORMAÇÃO JÁ PÚBLICA, QUE O PRÓPRIO PROTAGONISTA PERMITE CONTAR. ;TRABALHO/ ESCOLA/ FACULDADE;SEGREDO, CONFUSÃO, CURIOSIDADE, COMPETIÇÃO, TAGARELA, NOVIDADE, FAKE NEWS, CONVERSA, ZOAÇÃO, PECADO, COXIXO;NÃO;SIM;SIM;SIM;DEPENDE DO TEMA.;DEPENDE DO ASSUNTO, NORMALMENTE CURIOSIDADE.;SE FOR UMA COISA QUE O PREJUDIQUE EU EXPLICO A QUEM CONTOU E DIGO PARA NÃO CONTAR ORA MAIS PESSOAS.;INTERNET;NÃO
11/9/2019 18:57:05;015;21;MASCULINO;PALMAS - TO;ENSINO SUPERIOR;ESTUDANTE;RUIM/NEGATIVA;RUIM;É UMA NOTÍCIA, FALSA OU VERDADEIRA, QUE É PASSADA ORALMENTE PELAS PESSOAS. ;NÃO;POUCO;UMA PESSOA QUE SE PREOCUPA EM FALAR DA VIDA ALHEIA. ;NÃO;RUIM;LGBTQs;IDOSOS;SIM;;A VIDA DE SEUS CONHECIDOS E AMIGOS, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, JULGAMENTOS MORAIS SOBRE AS PESSOAS;VIDA DE PESSOAS PRÓXIMAS.;NÃO ME RECORDO.;NÃO;IDEIA ESPIRITUALMENTE ELEVADA E/OU COMPLEXA (EX. FILOSOFIA).;IGREJA;INVEJA, CONFUSÃO, AFRONTA, TRAIÇÃO, MALÍCIA, MALDADE, PECADO;NÃO;NÃO;NÃO;;NECESSIDADE DE ME CONFESSAR A UM PADRE. ;INTERESSE;ESCUTO COM ATENÇÃO;INTERNET;SIM, FUXICO
11/9/2019 19:02:57;016;22;MASCULINO;NITERÓI - RJ;ENSINO SUPERIOR;ESTUDANTE;RUIM/NEGATIVA;RUIM;DIVULGAR INFORMAÇÕES SOBRE TERCEIROS, PODENDO SER FALSAS OU VERDADEIRAS, SEM O CONHECIMENTO DOS MESMOS.;NÃO;POUCO;PESSOA QUE SENTE PRAZER EM DIVULGAR INFORMAÇÕES SOBRE OUTRAS PESSOAS, SE IMPORTANDO POUCO OU NADA, COM A VERACIDADE DA INFORMAÇÃO.;NÃO;NORMAL;ACHO QUE  TODOS FOFOCAM IGUAL;ADOLESCENTES, ADULTOS;SIM;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS;INTERESSES AMOROSOS E BRIGAS.;SIM, SE UMA PESSOA ESPECÍFICA TEM INTERESSE EM MIM.;NENHUM;SE A PESSOA SOBRE QUEM A INFORMAÇÃO SE TRATA NÃO SE IMPORTA OU NÃO OCULTA A INFORMAÇÃO EM QUESTÃO, ENTÃO NÃO É NECESSARIAMENTE FOFOCA. ;SITUAÇÕES EM QUE A PESSOA A SER FOFOCADA É RELEVANTE AO GRUPO, MAS NÃO ESTÁ PRESENTE NO MOMENTO. ;MENTIRA, BOATO, DISCRIÇÃO, VINGANÇA, SEGREDO, IRONIA, INTIMIDADE, TRAIÇÃO, CURIOSIDADE, SUSSURRO, INIMIZADE, CENSURA, TAGARELA, MALÍCIA, INSINUAÇÃO, NOVIDADE, DIVERSÃO, INFORMAÇÃO, FAKE NEWS, MANIPULAÇÃO, CONVERSA, ZOAÇÃO;SIM;SIM;SIM;NÃO;UM POUCO DE CULPA E DE ALEGRIA;CURIOSIDADE;EU CONTO À PESSOA SOBRE AS FOIFOCAS. ;INTERNET;SIM, X9
11/9/2019 19:17:39;017;18;FEMININO;NITERÓI - RJ;ENSINO MÉDIO;ESTUDANTE;RUIM/NEGATIVA;RUIM;É UM COMENTÁRIO - NÃO NECESSARIAMENTE VERDADEIRO - SOBRE ALGUM ACONTECIMENTO RELACIONADO À VIDA DE PESSOAS ESPECÍFICAS.;NÃO;POUCO;É UMA PESSOA QUE FALA MUITO SOBRE A VIDA DE OUTROS INDIVÍDUOS E FALA COISAS QUE TALVEZ NÃO SEJAM VERDADE APENAS PARA DEPRECIAR A IMAGEM ALHEIA PERANTE A SOCIEDADE.;NÃO;RUIM;ACHO QUE  TODOS FOFOCAM IGUAL;ADOLESCENTES;SIM, MUITAS;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, A VIDA DE SEUS PARENTES, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS, MENTIRAS;"A VIDA DE MEUS CONHECIDOS E AMIGOS; A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS; E A VIDA DE MEUS PARENTES.";SIM, SOBRE EM QUEM POSSO CONFIAR.;SIM. UMA PESSOA QUE SE DIZ ASSUMIDAMENTE HOMOFÓBICA E RELIGIOSA , MAS QUE AOS FINS DE SEMANA SE RALACIONA COM PESSOAS DO MESMO SEXO. ;NÃO SEI. COMENTÁRIOS ACERCA DE NOTÍCIAS CONHECIDAS  PELA POPULAÇÃO (COMO SOBRE POLÍTICA, ACONTECIMENTOS NO MUNDO EM GERAL).;NOS AMBIENTES ACADÊMICOS (ESCOLA E FACULDADE), NO TRABALHO, NAS REUNIÕES FAMILIARES E NO AMBIENTE DOMÉSTICO (COM POUCAS PESSOAS).;MENTIRA, BOATO, INVEJA, DISCRIÇÃO, IMPLICÂNCIA, VINGANÇA, SEGREDO, CONFUSÃO, IRONIA, AFRONTA, INTIMIDADE, COMPADRIO, TRAIÇÃO, CURIOSIDADE, SUSSURRO, CONSPIRAÇÃO, CUMPLICIDADE, AMIZADE, INIMIZADE, COMPETIÇÃO, CONTROLE, ESCONDIDO, CENSURA, TAGARELA, MALÍCIA, BASTIDORES, INSINUAÇÃO, NOVIDADE, MALDADE, DIVERSÃO, INFORMAÇÃO, FAKE NEWS, FUXICO, MANIPULAÇÃO, CONVERSA, ZOAÇÃO, OCULTAÇÃO, PECADO, COXIXO;NÃO;SIM;NÃO;NÃO;SATISFAÇÃO POR SABER ALGO QUE OS OUTROS NÃO SABEM E SER PORTA-VOZ DISSO.;SATISFAÇÃO DE UMA CURIOSIDADE.;SINTO INDIGNAÇÃO. SE PUDER DESMENTIR, FAÇO ISSO.;SIM, INTERNET;NÃO
11/9/2019 19:45:05;018;19;MASCULINO;NITERÓI - RJ;ENSINO SUPERIOR;ESTUDANTE;RUIM/NEGATIVA;RUIM;FALAR SOBRE ALGUÉM OU ALGO COM PESSOAS EXTERNAS A SITUAÇÃO;SIM;NADA;AQUELE QU FALA SOBRE SITUAÇÕES  COM PESSOAS EXTERNAS A ESSA SITUAÇÃO. ;NÃO;RUIM;DEPENDE DA SITUAÇÃO;ADULTOS;SIM, MUITAS;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, ASSUNTOS DE TRABALHO, A VIDA DE SEUS PARENTES, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS, MENTIRAS;...;NÃO QUE EU ME LEMBRE;...;"QUANDO HÁ UM ""CONSENTIMENTO"" DAS PARTES QUE ESTÃO ENVOLVIDAS.";QUANDO ESTÃO PRÓXIMOS DE AMIGOS OU FAMILIARES.;MENTIRA, BOATO, INVEJA, VINGANÇA, CONFUSÃO, TRAIÇÃO, CURIOSIDADE, INIMIZADE, MALÍCIA, INSINUAÇÃO, MALDADE, FAKE NEWS, MANIPULAÇÃO, CONVERSA, ZOAÇÃO;NÃO;SIM;SIM;NÃO;EVITO FAZER;TENTO NÃO PARTICIPAR;TENTO NÃO PARTICIPAR;SIM, FALA PRESENCIAL;NÃO
11/9/2019 20:04:19;019;20;FEMININO;NITERÓI - RJ;ENSINO MÉDIO;ESTUDANTE;NEUTRA/NORMAL;NEUTRO/DEPENDE DA SITUAÇÃO;FOFOCA É QUANDO 2 OU MAIS PESSOAS SE REÚNEM EM PROL DE FALAR ACERCA DA VIDA DE TERCEIRO(S).;NÃO SEI;MUITO;UM FOFOQUEIRO É QUEM FAZ FOFOCA, FALA DA VIDA DE TERCEIROS. ;SIM, MUITO;RUIM;ACHO QUE  TODOS FOFOCAM IGUAL;ADULTOS;SIM;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, ASSUNTOS DE TRABALHO, A VIDA DE SEUS PARENTES, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, JULGAMENTOS MORAIS SOBRE AS PESSOAS, NOTÍCIAS VARIADAS, BOATOS, MENTIRAS;BOATOS, VIDA DE FAMOSOS, TRETA POP, TRAIÇÃO, FOFOCA DE FAMÍLIA.;SIM, APRENDI QUE UM FOFOQUEIRO QUE FAZ UMA FOFOCA PARA VOCÊ, TAMBÉM FAZ UMA FOFOCA SUA PARA ALGUÉM. ;SURUBÃO DE NORONHA;NÃO;ESCOLA, TRABALHO, FACULDADE, IGREJA.;MENTIRA, BOATO, INVEJA, DISCRIÇÃO, IMPLICÂNCIA, VINGANÇA, SEGREDO, CONFUSÃO, IRONIA, AFRONTA, INTIMIDADE, COMPADRIO, TRAIÇÃO, CURIOSIDADE, SUSSURRO, MALDIÇÃO, CONSPIRAÇÃO, DETRAÇÃO, CUMPLICIDADE, AMIZADE, INIMIZADE, COMPETIÇÃO, CONTROLE, ESCONDIDO, CENSURA, TAGARELA, MALÍCIA, BASTIDORES, INSINUAÇÃO, NOVIDADE, MALDADE, DIVERSÃO, INFORMAÇÃO, FAKE NEWS, FUXICO, MANIPULAÇÃO, CONVERSA, ZOAÇÃO, OCULTAÇÃO, PECADO, COXIXO;SIM;SIM;SIM;SIM;NADA, ME SINTO INDIFERENTE.;NADA, ME SINTO INDIFERENTE.;CONTO PARA O MEU AMIGO OU PARENTE QUERIDO.;SIM, INTERNET;SIM, X9, BUCHICHEIRO E FUXICO. 
11/9/2019 20:09:59;020;19;MASCULINO;NITERÓI - RJ;ENSINO MÉDIO;ESTUDANTE;NEUTRA/NORMAL;NEUTRO/DEPENDE DA SITUAÇÃO;UMA HISTÓRIA OU FATO RECONTADA SEM A PRESENÇA DOS INDIVÍDUOS QUE REALIZARAM A AÇÃO OU RESULTADO QUE ESTÁ EM VOGA NOS ASSUNTOS DA FOFOCA.;NÃO;MUITO;UM INDIVÍDUO QUE DISSEMINA UMA INFORMAÇÃO.;SIM;NORMAL;ACHO QUE  TODOS FOFOCAM IGUAL;ADULTOS;SIM;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, ASSUNTOS DE TRABALHO, A VIDA DE SEUS PARENTES, A VIDA DAS PESSOAS PÚBLICAS, COMO ARTISTAS FAMOSOS E POLÍTICOS, JULGAMENTOS MORAIS SOBRE AS PESSOAS, NOTÍCIAS VARIADAS, BOATOS, MENTIRAS;FOFOCAS DA FAMÍLIA.;SIM, A NÃO ESPALHAR UM FATO MEU.;FATOS HISTÓRICOS SÃO CONSTRU´PIDOS E EXECUTADOS POR MEIO DAS FOFOCAS, TAIS COMO CONSPIRAÇÕES. ;TUDO QUE PODE SER REPETIDO E DISSEMINADO É UMA FOFOCA.;NOS LOCAIS ONDE EXISTEM MUITAS PESSOAS.;MENTIRA, BOATO, INVEJA, DISCRIÇÃO, IMPLICÂNCIA, VINGANÇA, SEGREDO, CONFUSÃO, IRONIA, AFRONTA, INTIMIDADE, COMPADRIO, TRAIÇÃO, CURIOSIDADE, SUSSURRO, MALDIÇÃO, CONSPIRAÇÃO, DETRAÇÃO, CUMPLICIDADE, AMIZADE, INIMIZADE, COMPETIÇÃO, CONTROLE, ESCONDIDO, CENSURA, TAGARELA, MALÍCIA, BASTIDORES, INSINUAÇÃO, NOVIDADE, MALDADE, DIVERSÃO, INFORMAÇÃO, FAKE NEWS, FUXICO, MANIPULAÇÃO, CONVERSA, ZOAÇÃO, OCULTAÇÃO, PECADO, COXIXO;SIM;SIM;SIM;SIM;ME SINTO NEUTRO.;DEPENDE, PODE SER ALEGRIA OU TRISTEZA.;TENTO AVISAR O AMIGO OU PARENTE.;SIM, INTERNET;SIM, X9.
11/9/2019 20:17:46;021;18;MASCULINO;NITERÓI - RJ;ENSINO MÉDIO;ESTUDANTE;NEUTRA/NORMAL;NEUTRO/DEPENDE DA SITUAÇÃO;UM CONJUNTO DE BOATOS ACERCA DA VIDA PRIVADA DE DETERMINADA PESSOA OU GRUPO.;NÃO;MUITO;ALGUÉM QUE CONSTANTEMENTE COMENTA SOBRE A VIDA PRIVADA DE UMA PESSOA OU GRUPO. ;SIM;NORMAL;DEPENDE DA SITUAÇÃO;ADOLESCENTES;SIM, MUITAS;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, BOATOS, MENTIRAS;OS RELACIONAMENTOS PRIVADOS DAS OUTRAS PESSOAS.;NÃO;NÃO;QUALQUER ASSUNTO QUE ENVOLVA A VIDA PRIVADA DE TERCEIROS É UMA FOFOCA.;NÃO SEI.;MENTIRA, BOATO, INVEJA, IMPLICÂNCIA, VINGANÇA, AFRONTA, SUSSURRO, MALDIÇÃO, INIMIZADE, COMPETIÇÃO, CONTROLE, TAGARELA, MALÍCIA, MALDADE, FAKE NEWS, MANIPULAÇÃO, ZOAÇÃO, PECADO, COXIXO;SIM;SIM;SIM;NÃO;NADA;CURIOSIDADE SATISFEITA;NADA;FALA PRESENCIAL;SIM, X9, DEDO-DURO. 
11/9/2019 20:25:43;022;19;MASCULINO;NITERÓI - RJ;ENSINO MÉDIO;ESTUDANTE;NEUTRA/NORMAL;NEUTRO/DEPENDE DA SITUAÇÃO;FOFOCA É QUANDO UM INDIVÍDUO FALA, CONVERSA COM UM TERCEIRO SOBRE A VIDA DE UMA OUTRA PESSOA. ;SIM;MEDIANAMENTE;FOFOQUEIRO É ALGUÉM QUE CONSTANTEMENTE FALA DA VIDA DE OUTRAS PESSOAS. ;NÃO;RUIM;ACHO QUE  TODOS FOFOCAM IGUAL;ADOLESCENTES;SIM, MUITAS;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS, MENTIRAS;A VIDA DE MEUS CONHECIDOS E AMIGOS.;"PROVAVELMENTE SIM; PORÉM NÃO LEMBRO EXATAMENTE.";CONHEÇO ALGUNS;ASPECTOS DA VIDA SEXUAL DO INDIVÍDUO ;EM FESTAS E UNIVERSIDADES (ESCOLAS);MENTIRA, BOATO, INVEJA, IMPLICÂNCIA, VINGANÇA, IRONIA, AFRONTA, TRAIÇÃO, CURIOSIDADE, INIMIZADE, COMPETIÇÃO, ESCONDIDO, TAGARELA, MALÍCIA, INSINUAÇÃO, MALDADE, FAKE NEWS, MANIPULAÇÃO, ZOAÇÃO, OCULTAÇÃO, COXIXO;NÃO;SIM;NÃO;NÃO;DEPENDENDO DA FOFOCA QUE FOR, EU ME SINTO UM POUCO DESCONFORTÁVEL.;DEPENDENDO DA FOFOCA QUE FOR, EU ME SINTO UM POUCO DESCONFORTÁVEL.;DEPENDENDO DE QUAL FOR A FOFOCA EU ME SINTO MAL E VOU DIRETO CONTAR PARA A PESSOA ENVOLVIDA.;SIM, INTERNET;SIM, X9.
11/9/2019 20:37:35;023;19;FEMININO;NITERÓI - RJ;ENSINO SUPERIOR;ESTUDANTE;NEUTRA/NORMAL;NEUTRO/DEPENDE DA SITUAÇÃO;UMA HISTÓRIA DE ALGUÉM QUE NÃO É POSSÍVEL AFIRMAR SE É VERÍDICA OU NÃO.;NÃO SEI;MEDIANAMENTE;ALGUÉM QUE CUIDA MAIS DA VIDA DOS OUTROS DO QUE DA PRÓPRIA.;NÃO;RUIM;ACHO QUE  TODOS FOFOCAM IGUAL;ADOLESCENTES, ADULTOS;SIM;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, ASSUNTOS DE TRABALHO, A VIDA DE SEUS PARENTES, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS, MENTIRAS;NOPVIDADES, PROFESSORES, SITUAÇÕES QUE ME ENVOLVEM. ;SIM, O QUE AS PESSOAS ERRAM QUE EU POSSO EVITAR.;NÃO;INTIMIDADES E SEGREDOS.;"RESENHAS; SALÃO DE BELEZA; UBER; GRUPOS DE AMIGOS.";MENTIRA, BOATO, INVEJA, IMPLICÂNCIA, SEGREDO, CONFUSÃO, IRONIA, INTIMIDADE, TRAIÇÃO, CURIOSIDADE, AMIZADE, INIMIZADE, COMPETIÇÃO, CONTROLE, NOVIDADE;SIM;SIM;SIM;SIM;DEPENDE DA FOFOCA. MAL SE FOR ALGO QUE EU SINTO QUE NÃO DEVERIA TER SIDO COMENTADO, MAS É IMPULSIVO. ;DEPENDE. SE FOR RUIM ACHO QUE NÃO DEVERIA SER DITO. ;ESCUTO E CONTO PARA AS PESSOAS QUE EU CONHEÇO. TENTO AVISAR A PESSOA QUE ESTÁ FOFOCANDO QUE PODE NÃO SER BEM ASSIM. ;SIM, FALA PRESENCIAL;NÃO
11/9/2019 20:52:47;024;19;MASCULINO;NITERÓI - RJ;ENSINO SUPERIOR;ESTUDANTE;RUIM/NEGATIVA;RUIM;FALAR SOBRE A VIDA DE UM TERCEIRO.;NÃO;POUCO;ALGUÉM QUE FALA MUITO SOBRE A VIDA DE OUTRAS PESSOAS.;NÃO;RUIM;ACHO QUE  TODOS FOFOCAM IGUAL;ADOLESCENTES, ADULTOS;SIM;NÃO;A VIDA DE SEUS CONHECIDOS E AMIGOS, A VIDA DE SEUS PARENTES, JULGAMENTOS MORAIS SOBRE AS PESSOAS, BOATOS, MENTIRAS;POLÍTICA, FUTEBOL, PROFESSORES.;NÃO;NÃO;...;LOCAIS PÚBLICOS, ESCOLAS, TRABALHO, NO BARBEIRO (BARBEARIA).;MENTIRA, BOATO, INVEJA, IMPLICÂNCIA, SEGREDO, INTIMIDADE, TRAIÇÃO, CURIOSIDADE, SUSSURRO, CONSPIRAÇÃO, CUMPLICIDADE, ESCONDIDO, MALÍCIA, INSINUAÇÃO, NOVIDADE, INFORMAÇÃO, FAKE NEWS, FUXICO, COXIXO;NÃO;NÃO;NÃO;NÃO;ANIMADA, TRISTE (DEPENDE DO CONTEÚDO).;ANIMADA, TRISTE (DEPENDE DO CONTEÚDO).;CONTO PARA ESSA PESSOA. ;SIM, INTERNET;SIM, X9
